country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Libya,0.19,0.37,2.24,2.81,3.53,3.92,4.3,4.72,9,10.8,14,14,,16.5,17.76,19.02,20.27,21.76
Liechtenstein,36.52,45.12,59.47,58.81,64.01,63.37,64.21,65.08,70,75,80,85,89.41,93.8,95.21,96.64,98.09,98.1
Lithuania,6.43,7.18,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.64,67.23,68.45,72.13,71.38,74.38,77.62
Luxembourg,22.89,36.16,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.03,91.95,93.78,94.67,96.38,97.83,97.83
"Macao, China",13.61,22.52,25.17,25.74,31.48,34.86,46.4,47.33,49.24,54,55.2,60.2,61.31,65.8,69.78,77.6,81.64,83.17
Madagascar,0.2,0.22,0.34,0.42,0.53,0.57,0.61,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.17,4.71,9.8
Malawi,0.13,0.16,0.22,0.28,0.35,0.38,0.43,0.97,0.7,1.07,2.26,3.33,4.35,5.05,5.83,9.3,11.47,13.78
Malaysia,21.38,26.7,32.34,34.97,42.25,48.63,51.64,55.7,55.8,55.9,56.3,61,65.8,57.06,63.67,71.06,78.79,80.14
Maldives,2.2,3.62,5.35,5.98,6.59,6.87,11.04,16.3,23.2,24.8,26.53,34,38.93,44.1,49.28,54.46,59.09,63.19
Mali,0.14,0.19,0.23,0.31,0.43,0.51,0.73,0.81,1.57,1.8,2,2.2,2.8,3.5,7,10.33,11.11,12.72
Malta,13.11,17.88,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63,68.02,68.2,68.91,73.17,75.96,77.29,80.07
Marshall Islands,1.53,1.71,2.34,2.57,3.6,3.88,3.8,3.95,4.6,5.6,7,10,12.5,14,16.8,19.28,29.79,38.7
Mauritania,0.19,0.26,0.36,0.42,0.48,0.67,0.98,1.43,1.87,2.28,4,4.5,5,6.2,10.7,15.2,18,20.8
Mauritius,7.28,8.78,10.25,12.19,13.69,15.17,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.12,44.8,50.14,52.19,55.56
Mayotte,1.21,,,,,,,,,,,,,,,,,
Mexico,5.08,7.04,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54,63.85
Micronesia,3.73,4.66,5.57,9.23,11.02,11.88,12.75,13.62,14.49,15.35,20,22.8,25.97,27.8,29.65,31.5,33.35,35.3
Moldova,1.28,1.49,3.79,7.41,10.63,14.63,19.62,20.45,23.39,27.5,32.3,38,43.37,60,67,69,71,76.12
Monaco,42.18,46.65,48.05,49.49,52.49,55.46,61.48,64.38,67.25,70.1,75,80.3,87,90.7,92.4,93.36,95.21,97.05
Mongolia,1.26,1.65,2.04,,,,,9,9.8,10,10.2,12.5,16.4,17.7,19.94,22.27,22.27,23.71
Montenegro,,,,,25.35,27.1,28.9,30.8,32.9,35.1,37.5,35.61,56.84,60.31,61,68.12,69.88,71.27
Montserrat,,,,,,,25.91,20.43,20.32,20.26,35,54.55,,,,,,
Morocco,0.69,1.37,2.37,3.35,11.61,15.08,19.77,21.5,33.1,41.3,52,46.11,55.42,56,56.8,57.08,58.27,61.76
Mozambique,0.11,0.16,0.26,0.42,0.68,0.85,0.84,0.91,1.56,2.68,4.17,4.3,6,7.29,9.24,16.93,17.52,20.77
Myanmar,,0,0,0.02,0.02,0.07,0.18,0.22,0.22,0.22,0.25,0.98,4,8,11.52,21.73,25.07,30.68
Namibia,1.64,2.42,2.63,3.36,3.8,4.01,4.4,4.84,5.33,6.5,11.6,12,12.94,13.9,14.84,25.69,31.03,36.84
Nauru,,2.99,,,,,,,,,,54,,,,,,57
Nepal (Republic of),0.2,0.24,0.31,0.38,0.45,0.83,1.14,1.41,1.73,1.97,7.93,9,11.15,13.3,15.44,17.58,19.69,21.4
Neth. Antilles,,,,,,,,,,,,,,,,,,
Netherlands,43.98,49.37,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.42,92.86,93.96,91.67,91.72,90.41,93.2
New Caledonia,13.94,18.24,22.39,26.41,30.3,32.36,33.52,35.05,34.51,33.99,42,50,58,66,70,74,,82.01
New Zealand,47.38,53.24,59.08,60.96,61.85,62.72,69,69.76,72.03,79.7,80.46,81.23,81.64,82.78,85.5,88.22,88.47,90.81
Nicaragua,0.98,1.45,1.71,1.88,2.32,2.57,2.81,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,19.7,24.57,27.86
Niger,0.04,0.11,0.13,0.16,0.19,0.22,0.29,0.39,0.7,0.76,0.83,0.9,1.05,1.15,1.25,2.48,4.32,10.22
Nigeria,0.06,0.09,0.32,0.56,1.29,3.55,5.55,6.77,8,9.3,11.5,13.8,16.1,19.1,21,24.5,25.67,27.68
Niue,26.51,32.66,39.15,43.13,47.34,51.7,56.25,61.01,65.92,74.48,76.97,79.56,,,,,,
Norfolk Islands,,,,,,,,,,,,,,,,,,
Northern Marianas,,,,,,,,,,,,,,,,,,
Norway,52,64,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.49,94.65,95.05,96.3,96.81,97.3,96.51
Oman,3.52,5.89,6.87,7.26,6.76,6.68,8.3,16.68,20,26.8,35.83,48,60,66.45,70.22,73.53,76.85,80.19
Pakistan,,1.32,2.58,5.04,6.16,6.33,6.5,6.8,7,7.5,8,9,9.96,10.9,12,14,15.51,15.51
Palau,,,20.24,21.6,26.97,,,,,,,,,,,,,
Palestine,1.11,1.84,3.1,4.13,4.4,16.01,18.41,21.18,24.36,32.23,37.4,41.08,43.4,46.6,53.67,57.42,61.18,65.2
Panama,6.55,7.27,8.52,9.99,11.14,11.48,17.35,22.29,33.82,39.08,40.1,42.7,40.3,44.03,44.92,51.21,54,57.87
Papua New Guinea,0.84,0.9,1.32,1.37,1.51,1.72,1.75,1.79,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,9.6,11.21
Paraguay,0.75,1.1,1.79,2.11,3.45,7.91,7.96,11.21,14.27,18.9,19.8,24.76,29.34,36.9,43,49.72,53.4,61.08
Peru,3.08,7.58,8.97,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2,40.9,45.46,48.73
Philippines,1.98,2.52,4.33,4.86,5.24,5.4,5.74,5.97,6.22,9,25,29,36.24,48.1,49.6,53.7,55.5,60.05
Poland,7.29,9.9,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.95,62.31,62.85,66.6,68,73.3,75.99
Portugal,16.43,18.09,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.25,60.34,62.1,64.59,68.63,70.42,73.79
Puerto Rico,10.47,15.63,17.55,19.71,22.13,23.4,25.44,27.86,38,41.5,45.3,48,69,69,,63.47,68.64,72.75
Qatar,4.86,6.17,10.23,19.24,20.7,24.73,28.97,37,44.3,53.1,69,69,69.3,85.3,91.49,92.88,94.29,95.94
Romania,3.61,4.54,6.58,8.9,15,21.5,24.66,28.3,32.42,36.6,39.93,40.01,45.88,49.76,54.08,55.76,59.5,63.75
Russian Federation,1.98,2.94,4.13,8.3,12.86,15.23,18.02,24.66,26.83,29,43,49,63.8,67.97,70.52,70.1,73.09,76.01
Rwanda,0.06,0.24,0.29,0.36,0.43,0.56,,2.12,4.5,7.7,8,7,8.02,9,10.6,18,20,21.77
Saint Kitts and Nevis,5.86,7.71,21.15,22.97,24.74,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,68,75.7,76.82,80.71
Saint Lucia,5.09,8.18,14.64,20.98,21.4,21.57,24.5,27.9,30,31,32.5,34,34.82,36,39.7,42.53,46.73,50.82
Saint Vincent and the Grenadines,3.25,5.09,5.55,6.46,7.37,9.2,12,16,21,31,33.7,36.7,40,43.5,47.4,51.77,55.57,65.56
Samoa,0.57,1.69,2.24,2.8,3.08,3.35,4.47,4.75,5.03,6,7,11,12.92,15.3,21.2,25.41,29.41,33.61
San Marino,48.8,50.34,50.83,50,50.57,50.26,50.21,50.36,54.52,54.21,,49.6,,,,,,60.18
Sao Tome and Principe,4.64,6.31,7.58,10.16,13.32,13.76,14.18,14.59,15.48,16.41,18.75,20.16,21.57,23,24.41,25.82,28,29.93
Saudi Arabia,2.21,4.68,6.38,8,10.23,12.71,19.46,30,36,38,41,47.5,54,60.5,64.71,69.62,74.88,82.12
Senegal,0.4,0.98,1.01,2.1,4.39,4.79,5.61,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.69,25.66,29.64
Serbia,,,,,23.5,26.3,27.2,33.15,35.6,38.1,40.9,42.2,48.1,53.45,62.08,65.32,67.06,70.33
Seychelles,7.4,11.02,14.3,14.59,24.27,25.41,34.95,38.38,40.44,,41,43.16,47.08,50.4,51.25,54.26,56.51,58.77
Sierra Leone,0.12,0.16,0.18,0.19,0.2,0.22,0.23,0.24,0.25,0.26,0.58,0.9,2.5,4,6.06,6.34,11.77,13.24
Singapore,36,41.67,47,53.84,62,61,59,69.9,69,69,71,71,72,80.9,79.03,79.01,84.45,84.45
Slovakia,9.43,12.53,40.14,43.04,52.89,55.19,56.08,61.8,66.05,70,75.71,74.44,76.71,77.88,79.98,77.63,80.48,81.63
Slovenia,15.11,30.18,27.84,31.85,40.81,46.81,54.01,56.74,58,64,70,67.34,68.35,72.68,71.59,73.1,75.5,78.89
Solomon Islands,0.48,0.47,0.5,0.56,0.65,0.84,1.65,2,3,4,5,6,7,8,9,10,11,11.92
Somalia,0.02,0.08,0.12,0.38,1.05,1.08,1.1,1.12,1.14,1.16,,1.25,1.38,1.5,1.63,1.76,1.88,2
South Africa,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10,24,33.97,41,46.5,49,51.92,54,56.17
South Sudan,,,,,,,,,,,,,,3.83,4.52,5.5,6.68,7.98
Spain,13.62,18.15,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.64,76.19,78.69,80.56,84.6
Sri Lanka,0.65,0.79,1.05,1.46,1.45,1.79,2.54,3.88,5.8,8.78,12,15,18.29,21.9,25.8,29.99,32.05,34.11
St. Helena,5.92,7.99,10.13,12.34,14.62,15.91,17.23,18.57,18.82,19.07,24.94,33,37.6,,,,,
St. Pierre & Miquelon,,,,,,,,,,,,,,,,,,
Sudan,0.03,0.14,0.44,0.54,0.79,1.29,,8.66,,,16.7,17.46,21,22.7,24.64,26.61,28,30.87
Suriname,2.51,3.06,4.16,4.72,6.08,6.4,9.5,14.11,21.06,31.36,31.59,32,34.68,37.4,40.08,42.76,45.4,48.95
Sweden,45.69,51.77,70.57,79.13,83.89,84.83,87.76,82.01,90,91,90,92.77,93.18,94.78,92.52,90.61,89.65,96.41
Switzerland,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19,85.2,86.34,87.4,87.48,89.13,93.71
Syrian Arab Republic,0.18,0.35,2.09,3.4,4.32,5.65,7.83,11.5,14,17.3,20.7,22.5,24.3,26.2,28.09,29.98,31.87,34.25
